type,id,title,admin_url
photo,1720,Caracalla Inscription,https://holy-land-photos.vercel.app/admin/collections/photos/1720
photo,1721,Caracalla Inscription (Detail),https://holy-land-photos.vercel.app/admin/collections/photos/1721
photo,1828,Cardo,https://holy-land-photos.vercel.app/admin/collections/photos/1828
photo,1677,Carved Lions,https://holy-land-photos.vercel.app/admin/collections/photos/1677
photo,1661,Cave 1 & Inscription,https://holy-land-photos.vercel.app/admin/collections/photos/1661
photo,1662,Cave 1 & Inscription (Detail),https://holy-land-photos.vercel.app/admin/collections/photos/1662
photo,1663,Cave 2 & Inscription,https://holy-land-photos.vercel.app/admin/collections/photos/1663
photo,1664,Cave 2 & Inscription (Detail),https://holy-land-photos.vercel.app/admin/collections/photos/1664
photo,1665,Cave Interior,https://holy-land-photos.vercel.app/admin/collections/photos/1665
photo,60,Cedar Tree,https://holy-land-photos.vercel.app/admin/collections/photos/60
photo,80,Cedar Tree 2,https://holy-land-photos.vercel.app/admin/collections/photos/80
photo,63,Cedar Trees,https://holy-land-photos.vercel.app/admin/collections/photos/63
photo,79,Cedar and Snow,https://holy-land-photos.vercel.app/admin/collections/photos/79
photo,164,Ceiling Tomb of Agamemnon,https://holy-land-photos.vercel.app/admin/collections/photos/164
photo,6998,Chancel Screen,https://holy-land-photos.vercel.app/admin/collections/photos/6998
photo,2518,Cherub,https://holy-land-photos.vercel.app/admin/collections/photos/2518
photo,5495,Children's Memorial Covering,https://holy-land-photos.vercel.app/admin/collections/photos/5495
photo,6690,Church & Plaza,https://holy-land-photos.vercel.app/admin/collections/photos/6690
photo,6380,Circular Altar,https://holy-land-photos.vercel.app/admin/collections/photos/6380
photo,1416,Cistern,https://holy-land-photos.vercel.app/admin/collections/photos/1416
photo,1620,Cistern Interior,https://holy-land-photos.vercel.app/admin/collections/photos/1620
photo,2472,Cliffs Valley of Kings,https://holy-land-photos.vercel.app/admin/collections/photos/2472
photo,1660,Cliffs and Caves,https://holy-land-photos.vercel.app/admin/collections/photos/1660
photo,1650,Columns & Capitals,https://holy-land-photos.vercel.app/admin/collections/photos/1650
photo,1641,Columns (1),https://holy-land-photos.vercel.app/admin/collections/photos/1641
photo,1642,Columns (2),https://holy-land-photos.vercel.app/admin/collections/photos/1642
photo,6196,Construction Tools (1),https://holy-land-photos.vercel.app/admin/collections/photos/6196
photo,6203,Construction Tools (2),https://holy-land-photos.vercel.app/admin/collections/photos/6203
photo,5957,Container Neighborhood,https://holy-land-photos.vercel.app/admin/collections/photos/5957
photo,1686,Dam,https://holy-land-photos.vercel.app/admin/collections/photos/1686
photo,6557,Dancer,https://holy-land-photos.vercel.app/admin/collections/photos/6557
photo,6558,Dancer (Detail),https://holy-land-photos.vercel.app/admin/collections/photos/6558
photo,1224,Dates Detail,https://holy-land-photos.vercel.app/admin/collections/photos/1224
photo,1223,Dates and Palm Branches,https://holy-land-photos.vercel.app/admin/collections/photos/1223
photo,1715,Detail of Rameses II,https://holy-land-photos.vercel.app/admin/collections/photos/1715
photo,379,Dome,https://holy-land-photos.vercel.app/admin/collections/photos/379
photo,5799,Dome Interior,https://holy-land-photos.vercel.app/admin/collections/photos/5799
photo,5797,Dome Interior Detail,https://holy-land-photos.vercel.app/admin/collections/photos/5797
photo,410,Dome of the Rotunda,https://holy-land-photos.vercel.app/admin/collections/photos/410
photo,6233,Dome of the Rotunda,https://holy-land-photos.vercel.app/admin/collections/photos/6233
photo,1425,Downtown,https://holy-land-photos.vercel.app/admin/collections/photos/1425
photo,1646,East Baths,https://holy-land-photos.vercel.app/admin/collections/photos/1646
photo,1647,East Baths Entrance,https://holy-land-photos.vercel.app/admin/collections/photos/1647
photo,1679,East Wall,https://holy-land-photos.vercel.app/admin/collections/photos/1679
photo,1681,East Wall (2),https://holy-land-photos.vercel.app/admin/collections/photos/1681
photo,5795,Eastern Central Ambulatory,https://holy-land-photos.vercel.app/admin/collections/photos/5795
photo,354,El-Aqsa Mosque 2,https://holy-land-photos.vercel.app/admin/collections/photos/354
photo,1652,Entrance,https://holy-land-photos.vercel.app/admin/collections/photos/1652
photo,1653,Entrance (parados),https://holy-land-photos.vercel.app/admin/collections/photos/1653
photo,162,Entrance Tomb of Agamemnon,https://holy-land-photos.vercel.app/admin/collections/photos/162
photo,5792,Entrance to Cave,https://holy-land-photos.vercel.app/admin/collections/photos/5792
photo,2514,Euphrates,https://holy-land-photos.vercel.app/admin/collections/photos/2514
photo,5556,Excavations Flooded 1,https://holy-land-photos.vercel.app/admin/collections/photos/5556
photo,1162,Exterior,https://holy-land-photos.vercel.app/admin/collections/photos/1162
photo,6210,Farm Tools (2),https://holy-land-photos.vercel.app/admin/collections/photos/6210
photo,61,Forest 1,https://holy-land-photos.vercel.app/admin/collections/photos/61
photo,62,Forest 2,https://holy-land-photos.vercel.app/admin/collections/photos/62
photo,6508,Forest of Columns 1,https://holy-land-photos.vercel.app/admin/collections/photos/6508
photo,6506,Forest of Columns 2,https://holy-land-photos.vercel.app/admin/collections/photos/6506
photo,6862,Forum (1),https://holy-land-photos.vercel.app/admin/collections/photos/6862
photo,1387,Forum 2,https://holy-land-photos.vercel.app/admin/collections/photos/1387
photo,5789,Foundation Stone 2,https://holy-land-photos.vercel.app/admin/collections/photos/5789
photo,5790,Foundation Stone 3,https://holy-land-photos.vercel.app/admin/collections/photos/5790
photo,5791,Foundation Stone 4,https://holy-land-photos.vercel.app/admin/collections/photos/5791
photo,6562,Frieze From Theater,https://holy-land-photos.vercel.app/admin/collections/photos/6562
photo,6658,Gabriel Barkay,https://holy-land-photos.vercel.app/admin/collections/photos/6658
photo,385,Ghawanima Minaret,https://holy-land-photos.vercel.app/admin/collections/photos/385
photo,2515,Giza Pyramids,https://holy-land-photos.vercel.app/admin/collections/photos/2515
photo,1688,Gouraund’s Relief,https://holy-land-photos.vercel.app/admin/collections/photos/1688
photo,6207,Grass on Roof,https://holy-land-photos.vercel.app/admin/collections/photos/6207
photo,2498,Greek Inscription,https://holy-land-photos.vercel.app/admin/collections/photos/2498
photo,6507,Griffins,https://holy-land-photos.vercel.app/admin/collections/photos/6507
photo,6157,Grinder Detail,https://holy-land-photos.vercel.app/admin/collections/photos/6157
photo,6725,Gymnasium,https://holy-land-photos.vercel.app/admin/collections/photos/6725
photo,1352,Harbor,https://holy-land-photos.vercel.app/admin/collections/photos/1352
photo,6643,Hezekiah&#8217;s Tunnel (2),https://holy-land-photos.vercel.app/admin/collections/photos/6643
photo,6644,Hezekiah&#8217;s Tunnel (3),https://holy-land-photos.vercel.app/admin/collections/photos/6644
photo,1644,Hippodrome (Circus),https://holy-land-photos.vercel.app/admin/collections/photos/1644
photo,1424,Hippodrome East Wall,https://holy-land-photos.vercel.app/admin/collections/photos/1424
photo,6211,Household Implements,https://holy-land-photos.vercel.app/admin/collections/photos/6211
photo,1693,Interior,https://holy-land-photos.vercel.app/admin/collections/photos/1693
photo,1302,Interior (Detail),https://holy-land-photos.vercel.app/admin/collections/photos/1302
photo,5803,Interior 1,https://holy-land-photos.vercel.app/admin/collections/photos/5803
photo,5805,Interior 2,https://holy-land-photos.vercel.app/admin/collections/photos/5805
photo,5808,Interior 3,https://holy-land-photos.vercel.app/admin/collections/photos/5808
photo,5809,Interior 4,https://holy-land-photos.vercel.app/admin/collections/photos/5809
photo,5800,Interior Ceiling,https://holy-land-photos.vercel.app/admin/collections/photos/5800
photo,5804,Interior Dome,https://holy-land-photos.vercel.app/admin/collections/photos/5804
photo,2354,Island of Arvad,https://holy-land-photos.vercel.app/admin/collections/photos/2354
photo,6812,Israelite House (1),https://holy-land-photos.vercel.app/admin/collections/photos/6812
photo,6439,Jaffa Gate Exterior (2),https://holy-land-photos.vercel.app/admin/collections/photos/6439
photo,6435,Jaffa Gate Moat,https://holy-land-photos.vercel.app/admin/collections/photos/6435
photo,6450,Jaffa Gate Tower,https://holy-land-photos.vercel.app/admin/collections/photos/6450
photo,1634,Jerusalem Churches,https://holy-land-photos.vercel.app/admin/collections/photos/1634
photo,1633,Jerusalem Gates,https://holy-land-photos.vercel.app/admin/collections/photos/1633
photo,1635,Jordan & Jericho,https://holy-land-photos.vercel.app/admin/collections/photos/1635
photo,1636,Jordan & Jericho Labeled,https://holy-land-photos.vercel.app/admin/collections/photos/1636
photo,2355,Kadesh 1,https://holy-land-photos.vercel.app/admin/collections/photos/2355
photo,506,Kadesh 2,https://holy-land-photos.vercel.app/admin/collections/photos/506
photo,2356,Kadesh 3,https://holy-land-photos.vercel.app/admin/collections/photos/2356
photo,6650,Ketef Hinnom Tomb 25 (1),https://holy-land-photos.vercel.app/admin/collections/photos/6650
photo,6651,Ketef Hinnom Tomb 25 (2),https://holy-land-photos.vercel.app/admin/collections/photos/6651
photo,6652,Ketef Hinnom Tomb 25 (3),https://holy-land-photos.vercel.app/admin/collections/photos/6652
photo,6655,Ketef Hinnom Tomb 25 Repository 1,https://holy-land-photos.vercel.app/admin/collections/photos/6655
photo,6656,Ketef Hinnom Tomb 25 Repository 2,https://holy-land-photos.vercel.app/admin/collections/photos/6656
photo,6657,Ketef Hinnom Tomb 25 Repository 3,https://holy-land-photos.vercel.app/admin/collections/photos/6657
photo,6649,Ketef HinnomTomb 12,https://holy-land-photos.vercel.app/admin/collections/photos/6649
photo,1680,Leopard Fountain,https://holy-land-photos.vercel.app/admin/collections/photos/1680
photo,1692,Leopard Fountain,https://holy-land-photos.vercel.app/admin/collections/photos/1692
photo,2458,Lion,https://holy-land-photos.vercel.app/admin/collections/photos/2458
photo,6928,Lion Monument,https://holy-land-photos.vercel.app/admin/collections/photos/6928
photo,1691,Lioness & Cub,https://holy-land-photos.vercel.app/admin/collections/photos/1691
photo,1690,Lioness & Leopard,https://holy-land-photos.vercel.app/admin/collections/photos/1690
photo,6818,Loess Soil,https://holy-land-photos.vercel.app/admin/collections/photos/6818
photo,2357,Lower Jabbok,https://holy-land-photos.vercel.app/admin/collections/photos/2357
photo,732,MB II Gate - Detail,https://holy-land-photos.vercel.app/admin/collections/photos/732
photo,1632,Madaba Map Jerusalem,https://holy-land-photos.vercel.app/admin/collections/photos/1632
photo,5431,Magnesia City Plan,https://holy-land-photos.vercel.app/admin/collections/photos/5431
photo,4963,Map of Aphrodisias,https://holy-land-photos.vercel.app/admin/collections/photos/4963
photo,1419,Market,https://holy-land-photos.vercel.app/admin/collections/photos/1419
photo,6488,Middle Bronze City Gate (Western Face),https://holy-land-photos.vercel.app/admin/collections/photos/6488
photo,731,Middle Bronze II Gate,https://holy-land-photos.vercel.app/admin/collections/photos/731
photo,5801,Mihrab and Minbar,https://holy-land-photos.vercel.app/admin/collections/photos/5801
photo,5802,Mihrab and Minbar Detail,https://holy-land-photos.vercel.app/admin/collections/photos/5802
photo,6702,Model of Boat (1),https://holy-land-photos.vercel.app/admin/collections/photos/6702
photo,6703,Model of Boat (2),https://holy-land-photos.vercel.app/admin/collections/photos/6703
photo,397,Modern Door,https://holy-land-photos.vercel.app/admin/collections/photos/397
photo,1695,Monumental Gate,https://holy-land-photos.vercel.app/admin/collections/photos/1695
photo,1625,Mosaic,https://holy-land-photos.vercel.app/admin/collections/photos/1625
photo,6693,Mosaic Floor 1,https://holy-land-photos.vercel.app/admin/collections/photos/6693
photo,1514,Mosaic Floor 3,https://holy-land-photos.vercel.app/admin/collections/photos/1514
photo,287,Mud Brick 1,https://holy-land-photos.vercel.app/admin/collections/photos/287
photo,288,Mud Brick 2,https://holy-land-photos.vercel.app/admin/collections/photos/288
photo,1723,Napoleon III Relief,https://holy-land-photos.vercel.app/admin/collections/photos/1723
photo,5557,Near Shore,https://holy-land-photos.vercel.app/admin/collections/photos/5557
photo,2352,Nile Valley,https://holy-land-photos.vercel.app/admin/collections/photos/2352
photo,1675,North Entrance,https://holy-land-photos.vercel.app/admin/collections/photos/1675
photo,1676,North Entrance Lintel,https://holy-land-photos.vercel.app/admin/collections/photos/1676
photo,1233,Olive Crusher,https://holy-land-photos.vercel.app/admin/collections/photos/1233
photo,6953,Olympic Stadium 1,https://holy-land-photos.vercel.app/admin/collections/photos/6953
photo,6954,Olympic Stadium 2,https://holy-land-photos.vercel.app/admin/collections/photos/6954
photo,138,Orchestra,https://holy-land-photos.vercel.app/admin/collections/photos/138
photo,285,Oskar Schindler,https://holy-land-photos.vercel.app/admin/collections/photos/285
photo,1434,Oval Precinct,https://holy-land-photos.vercel.app/admin/collections/photos/1434
photo,1669,Palace & Lake,https://holy-land-photos.vercel.app/admin/collections/photos/1669
photo,1291,Palace Pool 1,https://holy-land-photos.vercel.app/admin/collections/photos/1291
photo,6903,Parthenon Frieze,https://holy-land-photos.vercel.app/admin/collections/photos/6903
photo,6679,Pillared Building 1,https://holy-land-photos.vercel.app/admin/collections/photos/6679
photo,4818,Pistachio Fruit,https://holy-land-photos.vercel.app/admin/collections/photos/4818
photo,4962,Plan of Nysa,https://holy-land-photos.vercel.app/admin/collections/photos/4962
photo,1923,Plaque,https://holy-land-photos.vercel.app/admin/collections/photos/1923
photo,1640,Podium,https://holy-land-photos.vercel.app/admin/collections/photos/1640
photo,1649,Podium,https://holy-land-photos.vercel.app/admin/collections/photos/1649
photo,6647,Pool of Siloam (2),https://holy-land-photos.vercel.app/admin/collections/photos/6647
photo,2517,Portico and Footprints,https://holy-land-photos.vercel.app/admin/collections/photos/2517
photo,5793,Prayer in the Cave,https://holy-land-photos.vercel.app/admin/collections/photos/5793
photo,1973,Professor Stager,https://holy-land-photos.vercel.app/admin/collections/photos/1973
photo,6176,Promontory Palace Pool,https://holy-land-photos.vercel.app/admin/collections/photos/6176
photo,1674,Rameses II,https://holy-land-photos.vercel.app/admin/collections/photos/1674
photo,1714,Rameses II,https://holy-land-photos.vercel.app/admin/collections/photos/1714
photo,5806,Reading the Koran,https://holy-land-photos.vercel.app/admin/collections/photos/5806
photo,333,Recent Excavations 2,https://holy-land-photos.vercel.app/admin/collections/photos/333
photo,1623,Ritual Bath,https://holy-land-photos.vercel.app/admin/collections/photos/1623
photo,1624,Ritual Bath (2),https://holy-land-photos.vercel.app/admin/collections/photos/1624
photo,1671,River Enters Sea,https://holy-land-photos.vercel.app/admin/collections/photos/1671
photo,1705,River/Wadi,https://holy-land-photos.vercel.app/admin/collections/photos/1705
photo,1672,River/Wadi Bed,https://holy-land-photos.vercel.app/admin/collections/photos/1672
photo,5280,Roman Gladiator's Tomb Stone,https://holy-land-photos.vercel.app/admin/collections/photos/5280
photo,1762,Roman Mile Stone 1,https://holy-land-photos.vercel.app/admin/collections/photos/1762
photo,1755,Roman Mile Stone 2,https://holy-land-photos.vercel.app/admin/collections/photos/1755
photo,213,Roman Ramp 2,https://holy-land-photos.vercel.app/admin/collections/photos/213
photo,215,Roman Ramp 4,https://holy-land-photos.vercel.app/admin/collections/photos/215
photo,2511,Roman Road in Syria,https://holy-land-photos.vercel.app/admin/collections/photos/2511
photo,6811,Sacrificial Altar,https://holy-land-photos.vercel.app/admin/collections/photos/6811
photo,1839,Sarcophagus Tomb,https://holy-land-photos.vercel.app/admin/collections/photos/1839
photo,1429,Scaene Frons (1),https://holy-land-photos.vercel.app/admin/collections/photos/1429
photo,1430,Scaene Frons (2),https://holy-land-photos.vercel.app/admin/collections/photos/1430
photo,1431,Scaene Gable,https://holy-land-photos.vercel.app/admin/collections/photos/1431
photo,1432,Seats,https://holy-land-photos.vercel.app/admin/collections/photos/1432
photo,2445,Shishak,https://holy-land-photos.vercel.app/admin/collections/photos/2445
photo,6701,Side View 1,https://holy-land-photos.vercel.app/admin/collections/photos/6701
photo,1631,Sign,https://holy-land-photos.vercel.app/admin/collections/photos/1631
photo,6159,Six Pointed Star,https://holy-land-photos.vercel.app/admin/collections/photos/6159
photo,6939,Solomonic Gate 1b,https://holy-land-photos.vercel.app/admin/collections/photos/6939
photo,6288,Southeastern Wall,https://holy-land-photos.vercel.app/admin/collections/photos/6288
photo,6552,Southern Ark,https://holy-land-photos.vercel.app/admin/collections/photos/6552
photo,5796,Southern Central Ambulatory,https://holy-land-photos.vercel.app/admin/collections/photos/5796
photo,290,Southern Trench 1,https://holy-land-photos.vercel.app/admin/collections/photos/290
photo,551,Southwest Corner 2,https://holy-land-photos.vercel.app/admin/collections/photos/551
photo,6471,Sower’s Cove 4,https://holy-land-photos.vercel.app/admin/collections/photos/6471
photo,1287,Sphinx of Naxos,https://holy-land-photos.vercel.app/admin/collections/photos/1287
photo,3793,St. Catherine's Courtyard,https://holy-land-photos.vercel.app/admin/collections/photos/3793
photo,3792,St. Catherine's Entrance,https://holy-land-photos.vercel.app/admin/collections/photos/3792
photo,1627,St. George’s Church,https://holy-land-photos.vercel.app/admin/collections/photos/1627
photo,961,Stadium 1,https://holy-land-photos.vercel.app/admin/collections/photos/961
photo,6990,Stadium Entrance (2),https://holy-land-photos.vercel.app/admin/collections/photos/6990
photo,335,Stage,https://holy-land-photos.vercel.app/admin/collections/photos/335
photo,6914,Stoa of Attalus 1,https://holy-land-photos.vercel.app/admin/collections/photos/6914
photo,3038,Stone Box Menorah,https://holy-land-photos.vercel.app/admin/collections/photos/3038
photo,3110,Stone Box Side 1,https://holy-land-photos.vercel.app/admin/collections/photos/3110
photo,3039,Stone Box Top Original,https://holy-land-photos.vercel.app/admin/collections/photos/3039
photo,6806,Storeroom Detail,https://holy-land-photos.vercel.app/admin/collections/photos/6806
photo,5794,Suleiman Mihrab,https://holy-land-photos.vercel.app/admin/collections/photos/5794
photo,3037,Synagogue,https://holy-land-photos.vercel.app/admin/collections/photos/3037
photo,3112,Synagogue Fresco,https://holy-land-photos.vercel.app/admin/collections/photos/3112
photo,3113,Synagogue Pillar Fresco,https://holy-land-photos.vercel.app/admin/collections/photos/3113
photo,229,Synagogue Southeastern Corner,https://holy-land-photos.vercel.app/admin/collections/photos/229
photo,6202,Synagogue View,https://holy-land-photos.vercel.app/admin/collections/photos/6202
photo,2471,Temple of Hatshepsut,https://holy-land-photos.vercel.app/admin/collections/photos/2471
photo,4820,Terrace with Trees,https://holy-land-photos.vercel.app/admin/collections/photos/4820
photo,4821,Terrace with Trees,https://holy-land-photos.vercel.app/admin/collections/photos/4821
photo,136,Theater,https://holy-land-photos.vercel.app/admin/collections/photos/136
photo,256,Theater Interior 3,https://holy-land-photos.vercel.app/admin/collections/photos/256
photo,2456,Thutmose III,https://holy-land-photos.vercel.app/admin/collections/photos/2456
photo,1670,Tobiad Palace,https://holy-land-photos.vercel.app/admin/collections/photos/1670
photo,6223,Tomb of Jesus,https://holy-land-photos.vercel.app/admin/collections/photos/6223
photo,773,Top Opening,https://holy-land-photos.vercel.app/admin/collections/photos/773
photo,6660,Top Opening,https://holy-land-photos.vercel.app/admin/collections/photos/6660
photo,6744,Treatment Center 1,https://holy-land-photos.vercel.app/admin/collections/photos/6744
photo,6517,Tumble of a Column 1,https://holy-land-photos.vercel.app/admin/collections/photos/6517
photo,769,Tunnel 2,https://holy-land-photos.vercel.app/admin/collections/photos/769
photo,764,Tunnel Prior to Cleaning,https://holy-land-photos.vercel.app/admin/collections/photos/764
photo,1666,Upper Caves 1,https://holy-land-photos.vercel.app/admin/collections/photos/1666
photo,1667,Upper Caves 2,https://holy-land-photos.vercel.app/admin/collections/photos/1667
photo,1668,Upper Caves 3,https://holy-land-photos.vercel.app/admin/collections/photos/1668
photo,209,Upper Terrace,https://holy-land-photos.vercel.app/admin/collections/photos/209
photo,777,Vertical Shaft 1,https://holy-land-photos.vercel.app/admin/collections/photos/777
photo,6662,Vertical Shaft 1,https://holy-land-photos.vercel.app/admin/collections/photos/6662
photo,795,Vertical Shaft 2,https://holy-land-photos.vercel.app/admin/collections/photos/795
photo,6659,Vertical Shaft 2,https://holy-land-photos.vercel.app/admin/collections/photos/6659
photo,4140,Via Appia Roadbed 1,https://holy-land-photos.vercel.app/admin/collections/photos/4140
photo,6925,Via Egnatia 3,https://holy-land-photos.vercel.app/admin/collections/photos/6925
photo,1403,Wadi & Dead Sea,https://holy-land-photos.vercel.app/admin/collections/photos/1403
photo,1654,Wadi es-Sir 1,https://holy-land-photos.vercel.app/admin/collections/photos/1654
photo,1658,Wadi es-Sir 2,https://holy-land-photos.vercel.app/admin/collections/photos/1658
photo,1659,Wadi es-Sir 3,https://holy-land-photos.vercel.app/admin/collections/photos/1659
photo,1847,Washroom Graffiti 2,https://holy-land-photos.vercel.app/admin/collections/photos/1847
photo,1845,Water Basin,https://holy-land-photos.vercel.app/admin/collections/photos/1845
photo,1823,Water Channels 2,https://holy-land-photos.vercel.app/admin/collections/photos/1823
photo,6815,Water System (1),https://holy-land-photos.vercel.app/admin/collections/photos/6815
photo,5956,Waxwing Hotel,https://holy-land-photos.vercel.app/admin/collections/photos/5956
photo,6808,Well at City Gate,https://holy-land-photos.vercel.app/admin/collections/photos/6808
photo,554,West of Temple 1,https://holy-land-photos.vercel.app/admin/collections/photos/554
photo,1684,Western Wall,https://holy-land-photos.vercel.app/admin/collections/photos/1684
photo,1685,Western Wall (2),https://holy-land-photos.vercel.app/admin/collections/photos/1685
photo,382,el-Aqsa Entrance 2,https://holy-land-photos.vercel.app/admin/collections/photos/382
